OBJECT_ID,S_INFO_WINDCODE,TRADE_DT,CRNCY_CODE,S_DQ_PRECLOSE,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_CHANGE,S_DQ_PCTCHANGE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,S_DQ_AVGPRICE,S_DQ_TRADESTATUS,S_DQ_TRADESTATUSCODE,S_DQ_LIMIT,S_DQ_STOPPING,S_DQ_ADJCLOSE_BACKWARD,OPDATE,OPMODE,MOPDATE
{00039B31-F2BD-49A5-9F05-ECB2A0EB9644},920402.BJ,20251104,CNY,10.9,10.95,11.05,10.66,10.73,-0.17,-1.5596,43069.62,46436.804,14.386,14.452,14.584,14.0692,14.1616,1.319815,10.7818,交易,-1.0,14.17,7.63,10.73,2025-11-04 15:08:18,0,2025-11-04 15:02:18
{000D32F5-6DE0-434B-958D-13B6C64E54E3},002168.SZ,20251104,CNY,4.12,4.17,4.17,4.05,4.06,-0.06,-1.4563,45726.0,18652.11,61.6976,62.4464,62.4464,60.6493,60.7991,14.975144,4.0791,交易,-1.0,4.33,3.91,4.06,2025-11-04 15:08:18,0,2025-11-04 15:04:27
{001334E7-AE6D-41B7-922F-1879794336CE},688526.SH,20251104,CNY,16.13,16.12,16.12,15.85,15.96,-0.17,-1.0539,35086.46,55998.895,17.3735,17.3627,17.3627,17.0719,17.1904,1.077092,15.9603,交易,-1.0,19.36,12.9,15.96,2025-11-04 15:08:18,0,2025-11-04 15:04:35
{0018F73F-5F3C-4B98-91A5-038C3BE15AB1},300570.SZ,20251104,CNY,98.4,98.41,99.22,96.24,97.05,-1.35,-1.372,68126.89,665647.476,201.6739,201.6943,203.3545,197.2469,198.907,2.049531,97.707,交易,-1.0,118.08,78.72,97.05,2025-11-04 15:08:18,0,2025-11-04 15:04:27
{001B860A-42FB-4C31-9E22-559229CF0B77},301232.SZ,20251104,CNY,43.9,44.1,46.44,43.6,44.8,0.9,2.0501,75511.43,340762.409,62.704,62.9897,66.332,62.2755,63.9895,1.428337,45.1273,交易,-1.0,52.68,35.12,44.8,2025-11-04 15:08:18,0,2025-11-04 15:04:24
{001DC313-751D-45DB-BA49-D47B3C25911F},002102.SZ,20251104,CNY,3.85,3.85,3.85,3.73,3.76,-0.09,-2.3377,334114.0,126295.38,35.4651,35.4651,35.4651,34.3597,34.6361,9.211719,3.78,交易,-1.0,4.24,3.47,3.76,2025-11-04 15:08:18,0,2025-11-04 15:04:27
{00484B96-7006-49F2-92E0-9F2B624B2001},603969.SH,20251104,CNY,10.06,10.02,10.12,9.34,9.41,-0.65,-6.4612,273402.76,263062.387,47.9507,47.7601,48.2367,44.5189,44.8525,4.766476,9.6218,交易,-1.0,11.07,9.05,9.41,2025-11-04 15:08:18,0,2025-11-04 15:04:31
{004F4683-0F8D-4508-9C43-37EDCB59B5BA},920101.BJ,20251104,CNY,45.09,45.1,45.1,44.32,44.52,-0.57,-1.2641,9388.04,41848.753,45.09,45.1,45.1,44.32,44.52,1.0,44.5767,交易,-1.0,58.61,31.57,44.52,2025-11-04 15:08:18,0,2025-11-04 15:02:18
{0058B4FB-989D-4BB2-9FC9-D18DBDEE3301},688592.SH,20251104,CNY,40.86,40.5,40.59,38.7,39.07,-1.79,-4.3808,21619.73,85095.326,53.302,52.8324,52.9498,50.4843,50.967,1.304504,39.36,交易,-1.0,49.03,32.69,39.07,2025-11-04 15:08:18,0,2025-11-04 15:04:35
{005A5783-79BC-4295-95CA-6599B300AE2E},603339.SH,20251104,CNY,13.77,13.77,13.88,13.46,13.59,-0.18,-1.3072,39012.65,53230.572,23.1613,23.1613,23.3464,22.6399,22.8586,1.682014,13.6444,交易,-1.0,15.15,12.39,13.59,2025-11-04 15:08:18,0,2025-11-04 15:04:30
{00609A10-662B-4C20-AB77-B3334CC23F32},603725.SH,20251104,CNY,10.16,10.28,10.28,9.88,9.96,-0.2,-1.9685,67873.78,67893.139,21.3279,21.5798,21.5798,20.7401,20.908,2.099199,10.0029,交易,-1.0,11.18,9.14,9.96,2025-11-04 15:08:18,0,2025-11-04 15:04:31
{006D5CA7-99A9-4596-9D14-6AFD2FC19245},002065.SZ,20251104,CNY,10.41,10.45,10.68,10.35,10.56,0.15,1.4409,1328055.19,1400354.396,334.078,335.3617,342.7429,332.1525,338.8918,32.092031,10.5444,交易,-1.0,11.45,9.37,10.56,2025-11-04 15:08:18,0,2025-11-04 15:04:27
{007980E6-FE58-489D-9B7A-8DF160EFF131},300275.SZ,20251104,CNY,13.13,13.14,13.18,12.76,12.84,-0.29,-2.2087,109116.65,140685.271,61.2064,61.2531,61.4395,59.4817,59.8546,4.661572,12.8931,交易,-1.0,15.76,10.5,12.84,2025-11-04 15:08:18,0,2025-11-04 15:04:26
{0093C7A0-1FFF-4F0D-BCB9-8C0565B1DF58},688289.SH,20251104,CNY,21.97,21.95,22.3,21.72,22.01,0.04,0.1821,85432.0,187489.85,37.7325,37.6981,38.2992,37.3031,37.8012,1.717455,21.9461,交易,-1.0,26.36,17.58,22.01,2025-11-04 15:08:18,0,2025-11-04 15:04:31
