OBJECT_ID,S_INFO_WINDCODE,TRADE_DT,CRNCY_CODE,S_DQ_PRECLOSE,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_CHANGE,S_DQ_PCTCHANGE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,S_DQ_AVGPRICE,S_DQ_TRADESTATUS,S_DQ_TRADESTATUSCODE,S_DQ_LIMIT,S_DQ_STOPPING,S_DQ_ADJCLOSE_BACKWARD,OPDATE,OPMODE,MOPDATE
{00014E43-7432-40D9-B6C7-F2E0DD86CA7C},688212.SH,20251024,CNY,48.3,48.34,52.49,48.3,50.59,2.29,4.7412,44342.91,225259.094,48.8426,48.883,53.0796,48.8426,51.1583,1.011233,50.7993,交易,-1.0,57.96,38.64,50.59,2025-10-24 15:10:31,0,2025-10-24 15:04:10
{0023D292-D54E-46E1-87EF-0C23FAD7533B},000004.SZ,20251024,CNY,13.8,13.8,13.98,13.25,13.44,-0.36,-2.6087,108413.64,145956.907,56.0813,56.0813,56.8128,53.8462,54.6183,4.063862,13.463,交易,-1.0,14.49,13.11,13.44,2025-10-24 15:10:31,0,2025-10-24 15:05:38
{003C64FF-31CC-4055-9053-6D031A955025},603628.SH,20251024,CNY,13.44,13.4,13.48,13.32,13.36,-0.08,-0.5952,43453.0,58183.072,13.9401,13.8986,13.9816,13.8156,13.8571,1.037209,13.3899,交易,-1.0,14.78,12.1,13.36,2025-10-24 15:10:31,0,2025-10-24 15:04:10
{004D456C-B3F4-4AD8-A35F-806F7F878690},920271.BJ,20251024,CNY,16.78,16.79,17.05,16.66,16.92,0.14,0.8343,9378.44,15821.302,19.6019,19.6136,19.9173,19.4617,19.7654,1.16817,16.8699,交易,-1.0,21.81,11.75,16.92,2025-10-24 15:10:31,0,2025-10-24 15:02:19
{004E4B93-91C7-47B3-BB9A-E3C1A2F6CEE8},300017.SZ,20251024,CNY,11.03,11.06,11.14,11.03,11.12,0.09,0.816,536893.8,595131.443,276.7026,277.4552,279.4621,276.7026,278.9604,25.086364,11.0847,交易,-1.0,13.24,8.82,11.12,2025-10-24 15:10:31,0,2025-10-24 15:05:36
{0051E566-43D7-4914-A792-A3B1C3A3A5FC},605050.SH,20251024,CNY,14.4,14.4,14.71,14.32,14.44,0.04,0.2778,98359.0,142545.383,16.6862,16.6862,17.0454,16.5935,16.7325,1.158761,14.4924,交易,-1.0,15.84,12.96,14.44,2025-10-24 15:10:31,0,2025-10-24 15:04:10
{0051E81A-A26B-40CF-B437-F9476ECED65D},603275.SH,20251024,CNY,45.53,45.61,47.6,45.0,47.33,1.8,3.9534,25311.68,118559.856,46.006,46.0868,48.0976,45.4704,47.8248,1.010454,46.84,交易,-1.0,50.08,40.98,47.33,2025-10-24 15:10:31,0,2025-10-24 15:04:09
{006A4AB7-9E65-43B5-8874-A1D1636D1B96},300277.SZ,20251024,CNY,14.03,14.1,14.41,13.96,14.24,0.21,1.4968,88820.15,125675.23,76.7599,77.1429,78.8389,76.3769,77.9088,5.471126,14.1494,交易,-1.0,16.84,11.22,14.24,2025-10-24 15:10:31,0,2025-10-24 15:05:37
{00764275-5BBC-4C19-84F0-CA1071E61E9B},688327.SH,20251024,CNY,15.0,15.07,15.31,15.04,15.18,0.18,1.2,194747.39,295731.661,21.0,21.098,21.434,21.056,21.252,1.4,15.1854,交易,-1.0,18.0,12.0,15.18,2025-10-24 15:10:31,0,2025-10-24 15:04:08
{008A80F3-79C1-4809-888E-62D03398EC9A},000723.SZ,20251024,CNY,5.09,5.07,5.07,4.91,4.94,-0.15,-2.947,1464540.08,727951.431,34.689,34.5527,34.5527,33.4623,33.6667,6.815126,4.9705,交易,-1.0,5.6,4.58,4.94,2025-10-24 15:10:31,0,2025-10-24 15:05:38
{0092D338-C1C9-4917-A141-6EFCDC75D479},920680.BJ,20251024,CNY,9.52,9.52,9.52,9.52,9.52,0.0,0.0,0.0,0.0,9.6357,9.6357,9.6357,9.6357,9.6357,1.012155,9.52,停牌,0.0,12.37,6.67,9.52,2025-10-24 15:10:31,0,2025-10-24 15:02:19
{00B92F4C-3072-4AB3-93BA-E2B4B46AC9EF},002306.SZ,20251024,CNY,1.91,1.91,2.01,1.9,2.01,0.1,5.2356,762884.56,151166.254,7.9725,7.9725,8.39,7.9308,8.39,4.174108,1.9815,交易,-1.0,2.01,1.81,2.01,2025-10-24 15:10:31,0,2025-10-24 15:04:53
{00F64FB0-8B6E-4D4D-9789-1B32DBC14A71},300602.SZ,20251024,CNY,30.54,30.68,33.09,30.54,32.81,2.27,7.4329,282864.29,902728.555,146.0947,146.7644,158.2932,146.0947,156.9537,4.783716,31.9138,交易,-1.0,36.65,24.43,32.81,2025-10-24 15:10:31,0,2025-10-24 15:05:39
