,trade_dt,fund_id,s_info_windcode,shares,s_dq_close,opdate
0,2025-09-11,61,688800.SH,0,74.8,2025-09-11 15:49:06
1,2025-09-11,61,688786.SH,68,28.2,2025-09-11 15:49:06
2,2025-09-11,61,688778.SH,7,86.0,2025-09-11 15:49:06
3,2025-09-11,61,688777.SH,100,50.29,2025-09-11 15:49:06
4,2025-09-11,61,688776.SH,100,85.9,2025-09-11 15:49:06
5,2025-09-11,61,688772.SH,680,22.58,2025-09-11 15:49:06
6,2025-09-11,61,688766.SH,58,78.24,2025-09-11 15:49:06
7,2025-09-11,61,688757.SH,130,30.39,2025-09-11 15:49:06
8,2025-09-11,61,688750.SH,100,22.04,2025-09-11 15:49:06
9,2025-09-11,61,688722.SH,580,19.47,2025-09-11 15:49:06
10,2025-09-11,61,688711.SH,151,28.85,2025-09-11 15:49:06
11,2025-09-11,61,688708.SH,214,73.46,2025-09-11 15:49:06
12,2025-09-11,61,688707.SH,742,16.38,2025-09-11 15:49:06
13,2025-09-11,61,688700.SH,722,42.09,2025-09-11 15:49:06
14,2025-09-11,61,688690.SH,767,27.19,2025-09-11 15:49:06
15,2025-09-11,61,688678.SH,14,28.26,2025-09-11 15:49:06
16,2025-09-11,61,688668.SH,186,120.99,2025-09-11 15:49:06
17,2025-09-11,61,688665.SH,85,58.86,2025-09-11 15:49:06
18,2025-09-11,61,688660.SH,3207,18.57,2025-09-11 15:49:06
19,2025-09-11,61,688658.SH,1270,24.96,2025-09-11 15:49:06
20,2025-09-11,61,688655.SH,113,23.86,2025-09-11 15:49:06
21,2025-09-11,61,688639.SH,198,36.68,2025-09-11 15:49:06
22,2025-09-11,61,688638.SH,781,46.91,2025-09-11 15:49:06
23,2025-09-11,61,688636.SH,323,33.12,2025-09-11 15:49:06
24,2025-09-11,61,688630.SH,174,152.0,2025-09-11 15:49:06
25,2025-09-11,61,688629.SH,105,82.36,2025-09-11 15:49:06
26,2025-09-11,61,688622.SH,2,95.5,2025-09-11 15:49:06
27,2025-09-11,61,688621.SH,136,77.27,2025-09-11 15:49:06
