代码,昨收
301632,6.56
300815,24.58
300637,12.2
300620,55.07
688273,44.75
300453,9.41
301018,49.52
873726,32.2
301173,47.5
300399,33.65
301033,80.45
688410,17.27
300839,13.63
839680,8.62
688626,58.01
601929,2.97
600581,4.66
002307,5.07
000014,12.95
002298,7.78
002052,10.87
601137,20.16
002328,6.19
605188,12.09
002941,15.19
603610,13.09
600211,43.67
605298,19.68
600053,17.88
603080,24.31
603757,32.19
003017,31.7
000417,5.71
605169,16.34
002670,16.13
000561,10.33
300857,76.97
002622,3.24
835305,15.86
600203,15.76
600619,20.89
301323,52.53
600658,5.22
300690,32.88
300902,23.55
688669,22.4
300766,37.68
688256,707.4
002173,18.72
688702,65.4
301120,14.11
301202,47.79
300194,4.66
300981,16.68
603706,22.29
002920,106.02
688679,18.1
600113,36.1
601138,36.35
688236,23.99
300671,39.21
870199,42.26
301590,156.24
872808,63.4
300430,21.39
002176,8.68
603359,7.54
300476,202.45
600353,14.59
833171,10.6
600984,3.45
603767,30.18
603090,32.14
300002,13.23
301367,91.69
300589,14.9
301486,76.64
002148,10.41
002166,8.36
002837,50.05
600246,8.39
301309,33.19
301086,55.71
002820,12.44
837242,34.64
600737,10.38
002270,18.26
688108,24.53
688029,92.39
301293,57.41
688584,19.05
603500,11.11
688581,81.6
002901,61.06
300502,192.89
000068,3.56
300211,8.29
300368,16.44
603075,23.68
300706,45.76
300237,2.1
600232,7.83
002967,18.86
688376,45.95
003019,30.58
603800,46.71
688677,47.03
002551,4.52
603607,24.86
688169,178.1
601606,57.07
600355,2.97
000547,8.76
603955,37.54
300602,28.23
000026,19.49
600421,6.42
603611,26.16
600525,3.23
600318,9.9
002927,16.21
002231,3.45
000716,6.69
300561,12.58
002785,29.83
688157,41.14
000006,6.78
002686,7.03
300969,84.88
600775,11.59
301181,29.23
600636,8.45
605378,27.64
688580,53.0
301502,54.12
600075,4.74
688310,18.58
300003,17.3
300756,30.58
603093,21.92
600608,3.95
839493,146.55
688139,34.33
600735,7.94
300584,48.22
600568,1.79
603081,12.85
600360,8.57
300429,14.3
002676,9.53
002017,29.16
300697,14.66
300113,21.08
300322,27.17
603722,41.8
301125,19.39
834062,11.37
600589,8.13
002721,3.73
002700,7.69
835184,24.0
002130,23.23
688767,34.73
002364,18.3
600309,61.46
002884,16.77
000856,11.95
603912,9.85
603669,5.7
