,代码,昨收
0,920819,4.1
1,920799,57.77
2,920682,10.18
3,920489,22.35
4,920445,10.73
5,920167,19.39
6,920128,33.81
7,920118,26.36
8,920116,69.7
9,920111,27.57
10,920108,17.0
11,920106,101.67
12,920101,57.66
13,920099,31.42
14,920098,34.51
15,920088,38.91
16,920082,21.43
17,920068,19.9
18,920066,31.2
19,920060,37.01
20,920056,7.21
21,920037,92.5
22,920029,91.0
23,920027,30.97
24,920019,23.22
25,920018,9.17
26,920016,24.4
27,920008,37.87
28,920007,74.47
29,920005,50.5
30,920002,124.63
31,873833,19.99
32,873806,15.4
33,873726,34.58
34,873706,26.71
35,873703,16.28
36,873693,48.62
37,873690,26.13
38,873679,20.37
39,873665,14.5
40,873593,38.59
41,873576,31.22
42,873570,43.51
43,873527,20.14
44,873339,10.01
45,873305,63.1
46,873223,10.92
47,873169,37.19
48,873167,25.03
49,873152,19.44
50,873132,22.65
51,873122,43.28
52,873001,23.96
53,872953,36.15
54,872931,17.54
55,872925,24.45
56,872895,29.15
57,872808,72.92
58,872541,17.17
59,872392,34.12
60,872374,31.02
61,872351,28.15
62,872190,32.15
63,871981,34.9
64,871970,9.46
65,871857,18.26
66,871753,28.26
67,871694,20.25
68,871642,18.49
69,871634,27.35
70,871553,9.4
71,871478,27.69
72,871396,35.71
73,871263,21.06
74,871245,31.7
75,870976,25.66
76,870866,9.52
77,870726,16.49
78,870656,17.91
79,870508,20.5
80,870436,19.17
81,870357,24.8
82,870299,19.39
83,870204,21.85
84,870199,49.02
85,839946,9.41
86,839792,12.51
87,839790,47.81
88,839729,9.44
89,839725,29.44
90,839719,15.43
91,839680,8.9
92,839493,165.01
93,839371,10.58
94,839273,37.17
95,838971,37.0
96,838924,27.92
97,838837,16.15
98,838810,15.53
99,838701,19.24
100,838670,18.15
101,838402,11.19
102,838275,9.28
103,838262,26.01
104,838227,69.52
105,838171,17.66
106,838163,17.38
107,838030,7.17
108,837821,30.25
109,837748,62.0
110,837663,23.64
111,837592,50.13
112,837403,23.66
113,837344,29.92
114,837242,34.77
115,837212,16.74
116,837174,16.68
117,837092,41.44
118,837046,15.48
119,837023,17.63
120,837006,33.02
121,836961,39.28
122,836957,14.42
123,836942,48.19
124,836892,18.18
125,836871,16.51
126,836826,12.01
127,836807,19.35
128,836720,14.34
129,836717,12.21
130,836699,43.7
131,836675,11.88
132,836547,24.93
133,836504,26.31
134,836433,7.47
135,836422,13.5
136,836419,13.97
137,836414,14.07
