,代码,最新价
0,300139,27.35
1,300528,25.74
2,301617,84.7
3,300472,6.93
4,301238,24.0
5,688331,104.09
6,831834,17.15
7,839946,12.43
8,300805,13.01
9,688779,7.95
10,830974,10.64
11,600103,3.14
12,000718,2.49
13,300290,26.22
14,600376,4.25
15,000953,7.87
16,603959,5.69
17,000892,6.25
18,600689,15.14
19,002239,3.4
20,603878,6.37
21,002237,14.71
22,603429,13.07
23,002545,12.3
24,002276,17.46
25,002866,20.76
26,001332,46.05
27,605268,11.54
28,002759,16.81
29,605255,69.09
30,601116,13.42
31,600715,2.97
32,603257,72.57
33,002846,22.23
34,600988,30.8
35,600819,7.26
36,003036,20.24
37,603163,46.2
38,000810,14.08
39,603516,113.3
40,603301,29.71
41,603767,31.45
42,601069,30.91
43,603382,41.38
44,603978,18.82
45,002244,11.12
46,603950,34.23
47,603101,12.22
48,605298,43.92
49,002886,24.24
50,603717,9.81
51,600249,6.61
52,002963,14.45
53,002181,8.71
54,000809,3.31
55,000017,7.5
56,002547,6.4
57,600173,7.63
58,600503,3.76
59,000659,3.1
60,000980,3.23
61,002153,11.2
62,301200,91.35
63,301486,99.8
64,301500,17.98
65,300792,32.73
66,603222,12.55
67,301112,47.23
68,871634,32.8
69,603119,95.22
70,834407,22.0
71,001337,28.85
72,000913,18.88
73,605580,25.89
74,000893,37.87
75,688778,85.11
76,002405,9.55
77,688036,95.0
78,600110,8.07
79,600531,10.59
80,873152,34.43
81,002112,14.03
82,832522,79.7
83,300600,17.53
84,601216,5.6
85,300801,31.94
86,839719,20.51
87,300277,15.83
88,300068,20.2
89,301248,27.11
90,688819,34.18
91,300733,20.86
92,001311,25.66
93,301015,31.03
94,836957,17.05
95,600977,17.59
96,600928,4.45
97,600865,10.74
98,002074,47.47
99,600547,39.55
100,601311,11.49
101,000948,19.8
102,600246,13.07
103,301345,206.0
104,688433,49.96
105,833751,25.1
106,300475,53.5
107,601212,4.36
108,601929,5.8
109,001222,28.82
110,603181,17.45
111,605388,9.0
112,000506,11.03
113,603200,106.3
114,688081,24.56
115,600699,27.0
116,688025,149.02
117,601869,88.71
118,300619,37.86
119,300952,29.43
120,688155,78.95
121,603992,31.3
122,000524,17.0
123,603216,15.65
124,002091,9.09
125,300368,14.6
126,688328,26.83
127,002290,34.16
128,300766,43.24
