,trade_id,fund_id,dealDate,dealTime,symbol,side,price,qty,s_info_windcode,direction,trade_dt,trade_time
0,0103000081572886,58,20250821,145653129,000980,2,2.440,1400,000980.SH,S,2025-08-21,14:56:53.129000
1,,51,20250821,145657139,600684,2,5.090,1400,600684.SZ,S,2025-08-21,14:56:57.139000
2,,51,20250821,145657139,601991,2,3.450,1300,601991.SZ,S,2025-08-21,14:56:57.139000
3,,52,20250821,145647000,000980,2,2.440,500,000980.SH,S,2025-08-21,14:56:47
4,,51,20250821,145641235,601212,2,3.370,1200,601212.SZ,S,2025-08-21,14:56:41.235000
5,,51,20250821,145635534,300643,1,26.190,200,300643.SH,B,2025-08-21,14:56:35.534000
6,,51,20250821,145635433,601360,2,11.170,300,601360.SZ,S,2025-08-21,14:56:35.433000
7,0000000064474556,44,20250821,145629976,601838,2,18.270,100,601838.SZ,S,2025-08-21,14:56:29.976000
8,0000000064475012,44,20250821,145630051,605090,2,29.060,300,605090.SZ,S,2025-08-21,14:56:30.051000
9,0102000079677230,44,20250821,145629974,300244,2,16.200,300,300244.SH,S,2025-08-21,14:56:29.974000
10,0000000064469226,60,20250821,145629267,600096,2,26.600,100,600096.SZ,S,2025-08-21,14:56:29.267000
11,0000000064475341,60,20250821,145630056,600036,2,43.440,400,600036.SZ,S,2025-08-21,14:56:30.056000
12,0102000079671855,60,20250821,145629330,300498,2,17.630,300,300498.SH,S,2025-08-21,14:56:29.330000
13,1021779282102848300,57,20250821,145629590,000893,2,32.380,300,000893.SH,S,2025-08-21,14:56:29.590000
14,1021779282102863700,57,20250821,145629755,600926,2,16.350,500,600926.SZ,S,2025-08-21,14:56:29.755000
15,1021779282102855800,57,20250821,145629674,600096,2,26.600,100,600096.SZ,S,2025-08-21,14:56:29.674000
16,1021779282102855700,57,20250821,145629674,600096,2,26.600,500,600096.SZ,S,2025-08-21,14:56:29.674000
17,1021779282102855600,57,20250821,145629673,600096,2,26.600,100,600096.SZ,S,2025-08-21,14:56:29.673000
18,,51,20250821,145633333,603590,2,53.470,100,603590.SZ,S,2025-08-21,14:56:33.333000
19,,51,20250821,145633333,000997,2,30.680,100,000997.SH,S,2025-08-21,14:56:33.333000
20,0105000079556804,44,20250821,145629046,300119,2,23.400,200,300119.SH,S,2025-08-21,14:56:29.046000
21,0105000079556620,44,20250821,145629019,002946,2,17.830,300,002946.SH,S,2025-08-21,14:56:29.019000
22,0102000079659831,58,20250821,145627960,002020,2,19.520,300,002020.SH,S,2025-08-21,14:56:27.960000
23,,51,20250821,145631133,002436,2,16.930,700,002436.SH,S,2025-08-21,14:56:31.133000
24,0000000064445055,44,20250821,145626029,600873,2,11.060,500,600873.SZ,S,2025-08-21,14:56:26.029000
25,,51,20250821,145629133,002792,2,18.240,500,002792.SH,S,2025-08-21,14:56:29.133000
26,,51,20250821,145629033,600019,2,7.180,100,600019.SZ,S,2025-08-21,14:56:29.033000
27,,51,20250821,145628333,002517,2,20.850,500,002517.SH,S,2025-08-21,14:56:28.333000
28,0101000080876985,58,20250821,145623024,300237,2,2.540,3700,300237.SH,S,2025-08-21,14:56:23.024000
29,0105000079508502,58,20250821,145623046,300871,2,23.530,100,300871.SH,S,2025-08-21,14:56:23.046000
30,,51,20250821,145627133,002102,2,4.150,1000,002102.SH,S,2025-08-21,14:56:27.133000
31,0000000064418613,58,20250821,145622073,600168,2,4.870,1000,600168.SZ,S,2025-08-21,14:56:22.073000
32,,51,20250821,145626032,300291,2,6.600,700,300291.SH,S,2025-08-21,14:56:26.032000
33,0000000064413845,61,20250821,145621429,600168,2,4.870,900,600168.SZ,S,2025-08-21,14:56:21.429000
34,,51,20250821,145625632,600795,1,4.800,5700,600795.SZ,B,2025-08-21,14:56:25.632000
35,,51,20250821,145625632,300246,2,9.590,1000,300246.SH,S,2025-08-21,14:56:25.632000
36,,51,20250821,145625632,300263,2,8.820,1000,300263.SH,S,2025-08-21,14:56:25.632000
37,,51,20250821,145625632,300375,2,5.780,1200,300375.SH,S,2025-08-21,14:56:25.632000
38,,51,20250821,145625632,300291,2,6.600,100,300291.SH,S,2025-08-21,14:56:25.632000
39,,51,20250821,145625531,002332,2,11.570,900,002332.SH,S,2025-08-21,14:56:25.531000
40,,51,20250821,145625531,600330,2,8.760,1700,600330.SZ,S,2025-08-21,14:56:25.531000
41,,51,20250821,145625531,300291,2,6.600,200,300291.SH,S,2025-08-21,14:56:25.531000
42,0101000080853016,58,20250821,145620024,300237,2,2.540,3800,300237.SH,S,2025-08-21,14:56:20.024000
43,,51,20250821,145624129,600653,1,2.030,2700,600653.SZ,B,2025-08-21,14:56:24.129000
44,,51,20250821,145624129,000987,2,7.870,1200,000987.SH,S,2025-08-21,14:56:24.129000
45,,51,20250821,145624128,002516,2,5.640,900,002516.SH,S,2025-08-21,14:56:24.128000
46,,51,20250821,145624128,600301,1,27.370,500,600301.SZ,B,2025-08-21,14:56:24.128000
47,,51,20250821,145624129,002759,2,10.180,500,002759.SH,S,2025-08-21,14:56:24.129000
48,,51,20250821,145623727,603228,2,54.150,100,603228.SZ,S,2025-08-21,14:56:23.727000
49,,51,20250821,145623327,300174,2,18.020,500,300174.SH,S,2025-08-21,14:56:23.327000
50,,52,20250821,145619000,001896,2,5.720,200,001896.SH,S,2025-08-21,14:56:19
51,,52,20250821,145619000,300237,2,2.540,2200,300237.SH,S,2025-08-21,14:56:19
52,,51,20250821,145622978,601933,1,4.940,4300,601933.SZ,B,2025-08-21,14:56:22.978000
53,,51,20250821,145622378,002653,1,58.750,100,002653.SH,B,2025-08-21,14:56:22.378000
54,,51,20250821,145622278,600143,2,15.940,300,600143.SZ,S,2025-08-21,14:56:22.278000
55,,51,20250821,145622278,002174,2,16.570,100,002174.SH,S,2025-08-21,14:56:22.278000
56,,51,20250821,145622178,600795,1,4.800,5800,600795.SZ,B,2025-08-21,14:56:22.178000
57,,51,20250821,145622178,600351,2,7.390,200,600351.SZ,S,2025-08-21,14:56:22.178000
58,,51,20250821,145622178,601728,1,7.530,3500,601728.SZ,B,2025-08-21,14:56:22.178000
59,,51,20250821,145622077,601600,2,7.650,600,601600.SZ,S,2025-08-21,14:56:22.077000
60,,51,20250821,145621176,300993,2,17.430,200,300993.SH,S,2025-08-21,14:56:21.176000
61,,51,20250821,145620276,002558,2,29.910,200,002558.SH,S,2025-08-21,14:56:20.276000
62,,51,20250821,145620176,300631,1,34.530,100,300631.SH,B,2025-08-21,14:56:20.176000
63,,51,20250821,145620176,603669,2,5.700,200,603669.SZ,S,2025-08-21,14:56:20.176000
64,,51,20250821,145620176,688609,2,11.630,448,688609.SZ,S,2025-08-21,14:56:20.176000
65,,51,20250821,145620076,603773,2,30.640,100,603773.SZ,S,2025-08-21,14:56:20.076000
66,0104000077996600,61,20250821,145615990,000045,2,11.530,400,000045.SH,S,2025-08-21,14:56:15.990000
67,0000000064366483,61,20250821,145615368,600020,2,4.470,100,600020.SZ,S,2025-08-21,14:56:15.368000
68,,51,20250821,145619775,603115,1,17.870,200,603115.SZ,B,2025-08-21,14:56:19.775000
69,0104000077990330,59,20250821,145615000,000676,2,9.880,100,000676.SH,S,2025-08-21,14:56:15
70,,51,20250821,145619275,002414,1,12.400,145,002414.SH,B,2025-08-21,14:56:19.275000
71,0104000077988188,58,20250821,145615098,000676,2,9.880,400,000676.SH,S,2025-08-21,14:56:15.098000
72,0000000064363922,58,20250821,145615085,603978,2,17.050,100,603978.SZ,S,2025-08-21,14:56:15.085000
73,0000000064363809,58,20250821,145615082,603993,2,11.040,700,603993.SZ,S,2025-08-21,14:56:15.082000
74,0103000081278384,58,20250821,145615101,301171,2,32.430,100,301171.SH,S,2025-08-21,14:56:15.101000
75,0103000081276776,58,20250821,145614903,002558,2,29.920,100,002558.SH,S,2025-08-21,14:56:14.903000
