,fund_id,trade_dt,trade_time,s_info_windcode,direction,price,qty
0,58,2025-10-15,2025-10-15 14:56:37,002409.SZ,B,75.860,300
1,58,2025-10-15,2025-10-15 14:56:30,002492.SZ,S,8.130,1100
2,63,2025-10-15,2025-10-15 14:56:30,601916.SH,B,3.070,300
3,63,2025-10-15,2025-10-15 14:56:29,300414.SZ,S,12.220,200
4,61,2025-10-15,2025-10-15 14:56:22,000923.SZ,S,18.120,200
5,58,2025-10-15,2025-10-15 14:56:21,002394.SZ,S,11.980,500
6,63,2025-10-15,2025-10-15 14:56:21,002059.SZ,S,5.580,200
7,63,2025-10-15,2025-10-15 14:56:21,000923.SZ,S,18.120,200
8,63,2025-10-15,2025-10-15 14:56:21,000923.SZ,S,18.120,300
9,63,2025-10-15,2025-10-15 14:56:20,600475.SH,S,16.550,200
10,63,2025-10-15,2025-10-15 14:56:19,300511.SZ,S,6.970,600
11,63,2025-10-15,2025-10-15 14:56:17,603020.SH,S,10.430,400
12,58,2025-10-15,2025-10-15 14:56:14,000923.SZ,S,18.130,400
13,63,2025-10-15,2025-10-15 14:56:15,603020.SH,S,10.430,100
14,59,2025-10-15,2025-10-15 14:56:14,002394.SZ,S,11.980,500
15,52,2025-10-15,2025-10-15 14:56:14,002394.SZ,S,11.980,300
16,61,2025-10-15,2025-10-15 14:56:13,002394.SZ,S,11.980,1400
17,61,2025-10-15,2025-10-15 14:56:13,688141.SH,B,53.840,104
18,63,2025-10-15,2025-10-15 14:56:12,300059.SZ,B,25.530,200
19,61,2025-10-15,2025-10-15 14:56:12,300061.SZ,B,11.140,300
20,61,2025-10-15,2025-10-15 14:56:11,688141.SH,B,53.840,116
21,63,2025-10-15,2025-10-15 14:56:11,603020.SH,S,10.430,300
22,61,2025-10-15,2025-10-15 14:56:10,688141.SH,B,53.840,2
23,58,2025-10-15,2025-10-15 14:56:10,300843.SZ,B,51.530,100
24,59,2025-10-15,2025-10-15 14:56:08,000813.SZ,B,4.110,100
25,58,2025-10-15,2025-10-15 14:56:06,300843.SZ,B,51.530,100
26,58,2025-10-15,2025-10-15 14:56:04,600857.SH,S,16.950,200
27,63,2025-10-15,2025-10-15 14:56:03,601113.SH,S,4.420,1100
28,58,2025-10-15,2025-10-15 14:56:01,002957.SZ,S,20.740,300
29,63,2025-10-15,2025-10-15 14:56:00,002911.SZ,S,13.470,700
30,63,2025-10-15,2025-10-15 14:56:00,002911.SZ,S,13.470,100
31,63,2025-10-15,2025-10-15 14:56:00,002241.SZ,B,33.410,1000
32,59,2025-10-15,2025-10-15 14:56:00,000923.SZ,S,18.130,100
33,59,2025-10-15,2025-10-15 14:56:00,000923.SZ,S,18.130,100
34,59,2025-10-15,2025-10-15 14:56:00,000923.SZ,S,18.130,100
35,52,2025-10-15,2025-10-15 14:56:00,002957.SZ,S,20.730,100
36,61,2025-10-15,2025-10-15 14:55:58,002748.SZ,S,10.450,400
37,61,2025-10-15,2025-10-15 14:55:58,002748.SZ,S,10.450,500
38,61,2025-10-15,2025-10-15 14:55:58,002748.SZ,S,10.450,100
39,63,2025-10-15,2025-10-15 14:55:57,601868.SH,B,2.510,300
40,52,2025-10-15,2025-10-15 14:55:57,600022.SH,B,1.640,1100
41,61,2025-10-15,2025-10-15 14:55:49,300398.SZ,B,24.460,200
42,63,2025-10-15,2025-10-15 14:55:47,002738.SZ,B,48.350,100
43,58,2025-10-15,2025-10-15 14:55:43,301217.SZ,B,28.760,300
44,58,2025-10-15,2025-10-15 14:55:42,300547.SZ,B,39.440,100
45,61,2025-10-15,2025-10-15 14:55:36,002492.SZ,S,8.150,900
46,58,2025-10-15,2025-10-15 14:55:36,002146.SZ,B,1.630,300
47,63,2025-10-15,2025-10-15 14:55:12,002256.SZ,S,3.200,300
48,61,2025-10-15,2025-10-15 14:55:12,002256.SZ,S,3.200,700
49,59,2025-10-15,2025-10-15 14:55:12,002256.SZ,S,3.200,300
50,61,2025-10-15,2025-10-15 14:55:10,688141.SH,B,53.820,200
51,63,2025-10-15,2025-10-15 14:54:51,601818.SH,B,3.440,300
52,63,2025-10-15,2025-10-15 14:54:48,601689.SH,B,67.910,100
53,63,2025-10-15,2025-10-15 14:54:46,601658.SH,B,5.670,300
54,58,2025-10-15,2025-10-15 14:54:44,603889.SH,S,7.890,1600
55,58,2025-10-15,2025-10-15 14:54:40,300061.SZ,B,11.140,300
56,58,2025-10-15,2025-10-15 14:54:40,688403.SH,B,16.870,556
57,58,2025-10-15,2025-10-15 14:54:39,603889.SH,S,7.890,1000
58,58,2025-10-15,2025-10-15 14:54:35,300324.SZ,B,5.920,1400
59,63,2025-10-15,2025-10-15 14:54:29,300457.SZ,B,31.000,300
60,59,2025-10-15,2025-10-15 14:54:29,300457.SZ,B,31.000,300
61,52,2025-10-15,2025-10-15 14:54:26,300528.SZ,B,19.590,400
62,59,2025-10-15,2025-10-15 14:54:26,300185.SZ,B,3.160,100
63,59,2025-10-15,2025-10-15 14:54:24,603283.SH,B,45.450,100
64,58,2025-10-15,2025-10-15 14:54:22,300322.SZ,B,23.550,200
65,58,2025-10-15,2025-10-15 14:54:22,300322.SZ,B,23.550,100
66,58,2025-10-15,2025-10-15 14:54:19,688403.SH,B,16.870,200
67,59,2025-10-15,2025-10-15 14:54:17,000530.SZ,B,6.410,100
68,63,2025-10-15,2025-10-15 14:54:15,603020.SH,S,10.420,600
69,58,2025-10-15,2025-10-15 14:54:11,002515.SZ,S,7.200,100
70,58,2025-10-15,2025-10-15 14:54:02,002748.SZ,S,10.450,1500
71,52,2025-10-15,2025-10-15 14:54:02,002748.SZ,S,10.450,500
72,59,2025-10-15,2025-10-15 14:53:55,301217.SZ,B,28.750,100
73,52,2025-10-15,2025-10-15 14:52:02,300324.SZ,B,5.910,1100
74,58,2025-10-15,2025-10-15 14:53:12,300129.SZ,S,8.430,100
75,58,2025-10-15,2025-10-15 14:53:11,688403.SH,B,16.870,200
